lr,seed,global_episode,train_mean_reward,eval_mean_reward,time_seconds
0.5,10,10,23.2,36.88,0.17945289611816406
0.5,10,20,23.8,207.39,0.907984733581543
0.5,10,30,30.2,245.87,1.7652077674865723
0.5,10,40,40.5,272.25,2.7489778995513916
0.5,10,50,53.6,230.53,3.628448009490967
0.5,10,60,77.3,500.0,5.419035911560059
0.5,20,10,16.9,11.37,0.07704496383666992
0.5,20,20,23.6,40.01,0.25495100021362305
0.5,20,30,23.8,162.32,0.8466899394989014
0.5,20,40,30.9,476.44,2.488853931427002
0.5,30,10,21.6,9.68,0.08035087585449219
0.5,30,20,19.1,9.33,0.15212202072143555
0.5,30,30,34.4,45.69,0.37866687774658203
0.5,30,40,24.9,69.34,0.6616418361663818
0.5,30,50,28.1,104.44,1.0726609230041504
0.5,30,60,25.3,150.04,1.6592340469360352
0.5,30,70,37.8,185.06,2.3819990158081055
0.5,30,80,54.2,244.85,3.2919018268585205
0.5,30,90,71.3,234.75,4.1993019580841064
0.5,30,100,64.4,294.01,5.283706903457642
0.5,30,110,81.4,329.5,6.538932800292969
0.5,30,120,64.3,258.54,7.506850004196167
0.5,30,130,116.5,244.72,8.52994704246521
0.5,30,140,168.4,243.37,9.6854829788208
0.5,30,150,174.1,256.63,10.91579794883728
0.5,30,160,177.2,264.82,12.143471002578735
0.5,30,170,193.0,270.55,13.46837592124939
0.5,30,180,201.6,273.88,14.786906957626343
0.5,30,190,149.1,260.01,15.958683013916016
0.5,30,200,206.4,245.03,17.18651509284973
0.5,30,210,202.9,271.88,18.523886919021606
0.5,30,220,159.0,298.58,19.814460039138794
0.5,30,230,187.5,309.78,21.247298002243042
0.5,30,240,208.3,308.46,22.670130729675293
0.5,30,250,196.5,325.88,24.17737317085266
0.5,30,260,242.3,326.19,25.73637890815735
0.5,30,270,232.3,328.85,27.27864384651184
0.5,30,280,225.2,337.42,28.845052003860474
0.5,30,290,187.8,350.44,30.38095998764038
0.5,30,300,269.4,371.22,32.14436078071594
0.5,30,310,334.9,386.88,34.17205286026001
0.5,30,320,317.3,379.65,36.055986166000366
0.5,30,330,241.5,345.24,37.656420946121216
0.5,30,340,243.5,403.98,39.47035503387451
0.5,30,350,355.6,435.97,41.648730993270874
0.5,30,360,311.2,431.88,43.692214012145996
0.5,30,370,269.9,381.86,45.50866913795471
0.5,30,380,299.5,406.58,47.46573996543884
0.5,30,390,358.1,449.5,49.67585492134094
0.5,30,400,372.3,455.35,51.9576849937439
0.5,30,410,325.1,475.76,54.153725147247314
0.5,40,10,21.3,23.22,0.13721990585327148
0.5,40,20,24.2,37.61,0.31299901008605957
0.5,40,30,32.1,97.17,0.6897978782653809
0.5,40,40,25.8,118.73,1.1298539638519287
0.5,40,50,50.2,265.96,2.0789551734924316
0.5,40,60,45.4,226.25,2.9167490005493164
0.5,40,70,59.1,270.42,3.903872013092041
0.5,40,80,74.2,248.2,4.848025798797607
0.5,40,90,91.7,274.48,5.955077886581421
0.5,40,100,140.4,242.86,7.05102801322937
0.5,40,110,128.0,278.62,8.240696907043457
0.5,40,120,154.4,319.69,9.604694128036499
0.5,40,130,121.0,317.98,10.89323902130127
0.5,40,140,109.1,342.08,12.242041826248169
0.5,40,150,142.5,331.83,13.638545036315918
0.5,40,160,200.6,332.31,15.176833152770996
0.5,40,170,190.7,343.66,16.707554817199707
0.5,40,180,226.3,347.75,18.355223894119263
0.5,40,190,200.4,340.05,19.91548180580139
0.5,40,200,194.8,361.96,21.519364833831787
0.5,40,210,167.2,371.94,23.12134313583374
0.5,40,220,219.9,374.08,24.804684162139893
0.5,40,230,217.1,378.76,26.506580114364624
0.5,40,240,166.7,391.7,28.159017086029053
0.5,40,250,225.3,397.96,29.985255002975464
0.5,40,260,187.1,415.04,31.7085440158844
0.5,40,270,259.8,419.63,33.66257381439209
0.5,40,280,226.0,417.57,35.484363079071045
0.5,40,290,183.9,423.15,37.32929801940918
0.5,40,300,256.3,422.42,39.255895137786865
0.5,40,310,246.3,426.64,41.16959285736084
0.5,40,320,275.5,434.79,43.176177978515625
0.5,40,330,277.8,440.66,45.228748083114624
0.5,40,340,230.3,455.05,47.18938183784485
0.5,40,350,251.8,458.23,49.17511606216431
0.5,40,360,260.7,473.01,51.2388379573822
0.5,40,370,239.8,483.56,53.33651804924011
0.5,50,10,23.8,54.48,0.24383187294006348
0.5,50,20,27.6,77.6,0.5640408992767334
0.5,50,30,21.9,127.57,1.0219438076019287
0.5,50,40,22.4,303.33,2.0826780796051025
0.5,50,50,41.7,353.18,3.320546865463257
0.5,50,60,38.3,377.38,4.642287731170654
0.5,50,70,39.9,216.77,5.430095911026001
0.5,50,80,59.2,319.42,6.61810302734375
0.5,50,90,74.9,375.07,7.990783929824829
0.5,50,100,60.6,364.93,9.460826873779297
0.5,50,110,97.7,354.61,10.851406812667847
0.5,50,120,133.5,318.55,12.314539909362793
0.5,50,130,181.4,297.63,13.707257747650146
0.5,50,140,139.0,337.72,15.127790927886963
0.5,50,150,171.4,338.7,16.63645601272583
0.5,50,160,141.9,332.7,18.027894973754883
0.5,50,170,260.0,360.95,19.763659954071045
0.5,50,180,185.4,369.14,21.342745780944824
0.5,50,190,205.7,372.81,22.97474193572998
0.5,50,200,222.0,386.08,24.684961795806885
0.5,50,210,181.7,402.38,26.372809886932373
0.5,50,220,265.5,414.44,28.248596906661987
0.5,50,230,218.8,420.37,30.06684684753418
0.5,50,240,257.4,415.78,31.986514806747437
0.5,50,250,252.4,421.0,33.890357971191406
0.5,50,260,257.5,428.98,35.81748986244202
0.5,50,270,280.5,439.34,37.830458879470825
0.5,50,280,258.2,432.53,39.78742289543152
0.5,50,290,272.0,439.17,41.831777811050415
0.5,50,300,330.4,443.65,43.954561948776245
0.5,50,310,339.1,443.7,46.08199191093445
0.5,50,320,306.7,455.54,48.19874095916748
0.5,50,330,318.4,469.07,50.432379961013794
0.5,50,340,369.7,470.39,52.73942685127258
0.5,50,350,438.1,476.97,55.19530701637268
